EmployeeID,BDate,ContactNo.,Email,Hiredate,FName,LName,DepartNo.,SuperID,Schedule
108413,1990-3-21,416-929-7914,108413@ttc.ca,2018-2-28,Cynthia,Clark,204327,108439,404371
103948,1985-9-29,416-752-1114,103948@ttc.ca,1995-1-24,Michael,Robertson,202649,107381,404371
107381,1993-9-11,647-982-1301,107381@ttc.ca,2001-8-19,Cindy,Ali,202649,,404372
101350,1995-12-20,647-198-7196,101350@ttc.ca,2016-10-21,Rachael,Hudson,202174,102358,404372
101604,1982-2-13,416-875-1092,101604@ttc.ca,2008-10-24,Emily,Rodriguez,204327,108439,404372
104727,1998-2-9,647-940-3746,104727@ttc.ca,2009-7-2,Thomas,Peterson,202649,107381,404373
107929,1974-10-18,905-535-4564,107929@ttc.ca,2012-3-16,Gerald,Flores,204327,108439,404373
102358,1999-2-14,416-634-8791,102358@ttc.ca,2022-5-31,Justin,Pacheco,202174,,404371
109698,1977-9-27,416-596-4429,109698@ttc.ca,2011-2-5,Heather,Lewis,203119,105471,404372
102184,1978-2-2,647-551-9202,102184@ttc.ca,2014-4-5,Suzanne,Wise,202174,102358,404371
102811,1997-6-18,647-838-9235,102811@ttc.ca,2000-4-20,Edwin,Callahan,203119,105471,404372
105471,1985-7-31,905-570-6413,105471@ttc.ca,1995-8-28,Christopher,Martinez,203119,,404371
108592,1988-4-13,416-486-4716,108592@ttc.ca,2023-4-21,Phillip,Scott,203119,105471,404373
103014,1990-10-11,647-220-7424,103014@ttc.ca,1992-3-31,Kelly,Stout,202649,107381,404371
108439,1983-5-6,647-108-6217,108439@ttc.ca,2022-12-6,Anna,Wallace,204327,,404373
105733,1983-9-24,647-700-3195,105733@ttc.ca,2019-12-26,Brent,Haney,204327,108439,404372
108014,1992-7-18,416-387-3151,108014@ttc.ca,2000-10-3,Joseph,Smith,202174,102358,404372
109566,2003-6-16,647-922-2978,109566@ttc.ca,1998-7-13,Diamond,Brown,203119,105471,404371
101592,2005-1-9,416-285-2306,101592@ttc.ca,1993-12-7,Paula,Mason,205476,,404372
106367,1996-2-10,647-620-1072,106367@ttc.ca,2005-1-8,Kelly,Drake,202174,102358,404371
